WGPA,SAT,ACT,result
2.95,1030,20,0
3,650,12,0
3.17,690,12,0
3.18,700,12,0
3.21,730,13,0
3.3,740,13,0
3.49,740,13,0
3.85,740,13,0
3.55,750,13,0
2.96,760,13,0
3.74,770,14,0
3.74,780,14,0
3.53,800,14,0
2.82,810,14,0
3.73,810,14,0
3.89,820,15,0
3.32,820,15,0
3.19,830,15,1
3.32,830,15,0
3.36,840,15,0
3.71,840,15,0
4.02,850,15,0
4.1,850,15,0
4.12,870,16,0
4.36,870,16,0
4.51,870,16,1
4.01,880,16,1
3.9,880,16,1
3.52,880,16,0
3.94,890,16,0
3.9,890,16,1
3.84,890,16,1
3.77,890,16,0
3.54,890,16,0
3.5,890,16,0
3.24,890,16,0
2.44,890,16,0
4.1,900,16,0
2.38,900,16,0
4.11,910,17,1
3.95,910,17,0
3.93,910,17,0
3.88,910,17,0
3.88,910,17,1
3.47,910,17,0
3.12,910,17,0
4.16,920,17,1
3.94,920,17,0
3.83,920,17,0
3.72,920,17,0
3.61,920,17,0
2.05,920,17,0
4.42,930,17,1
3.56,930,17,0
3.13,930,17,0
4.77,940,17,1
4.35,940,17,1
3.91,940,17,1
3.74,940,17,0
4.25,950,18,1
4.11,950,18,1
3.93,950,18,0
3.72,950,18,0
3.37,950,18,0
3.35,950,18,0
3.2,950,18,0
3.9,960,18,1
3.6,960,18,0
2.96,960,18,0
4.57,970,18,1
4.58,980,18,1
4.26,980,18,1
4.24,980,18,1
3.98,980,18,1
3.91,980,18,1
3.8,980,18,1
3.78,980,18,0
3.58,980,18,0
4.26,990,19,1
4.15,990,19,0
3.36,990,19,0
4.62,1000,19,1
4.56,1000,19,1
4.35,1000,19,1
4.2,1000,19,1
3.96,1000,19,1
3.79,1000,19,1
3.7,1000,19,0
4.27,1010,19,1
3.43,1010,19,0
3.2,1010,19,0
4.44,1020,19,1
4.42,1020,19,1
4.31,1020,19,1
4.3,1020,19,1
4.1,1020,19,1
3.94,1020,19,0
3.7,1020,19,0
4.76,1030,20,1
4.31,1030,20,1
4.2,1030,20,1
4.16,1030,20,1
4.15,1030,20,1
3.26,1030,20,0
2.95,1030,20,0
4.69,1040,20,1
4.46,1040,20,1
4.36,1040,20,1
4.35,1040,20,1
3.5,1040,20,0
3.49,1040,20,0
3.03,1040,20,0
4.38,1050,20,1
4.13,1050,20,1
4.05,1050,20,1
3.73,1050,20,0
3.55,1050,20,0
3.43,1050,20,0
3.11,1050,20,0
2.79,1050,20,0
4.67,1060,20,1
4.66,1060,20,1
3.86,1060,20,1
3.53,1060,20,0
3.17,1060,20,1
3.04,1060,20,0
4.72,1070,21,1
4.71,1070,21,1
4.62,1070,21,1
3.83,1070,21,0
3.52,1070,21,0
3.48,1070,21,0
3.33,1070,21,0
4.73,1080,21,1
4.14,1080,21,1
4,1080,21,0
3.91,1080,21,1
3.42,1080,21,0
3.3,1080,21,0
4.32,1090,21,1
3.97,1090,21,1
3.71,1090,21,0
3.61,1090,21,0
3.48,1090,21,0
3.11,1090,21,0
3.02,1090,21,0
2.95,1090,21,0
4.03,1100,21,0
3.81,1100,21,1
3.19,1100,21,0
4.67,1110,22,1
4.45,1110,22,0
3.85,1110,22,0
3.84,1110,22,0
3.78,1110,22,0
3.68,1110,22,1
3.65,1110,22,0
3.59,1110,22,0
3.47,1110,22,0
4.02,1120,22,0
3.98,1120,22,0
3.93,1120,22,0
3.92,1120,22,1
3.9,1120,22,0
3.68,1120,22,0
3.63,1120,22,0
3.35,1120,22,0
3.3,1120,22,0
3.25,1120,22,0
2.94,1120,22,0
4.22,1130,22,0
3.95,1130,22,1
3.37,1130,22,0
3.3,1130,22,0
3.09,1130,22,1
4.54,1140,23,1
4.22,1140,23,1
4.13,1140,23,0
4.05,1140,23,0
3.78,1140,23,0
3.73,1140,23,0
3.67,1140,23,0
3.54,1140,23,0
3.47,1140,23,0
3.32,1140,23,0
4.25,1150,23,0
4.21,1150,23,0
4.18,1150,23,1
4.12,1150,23,1
3.91,1150,23,1
3.77,1150,23,0
3.56,1150,23,0
3.55,1150,23,0
3.53,1150,23,0
3.5,1150,23,0
3.18,1150,23,0
3.16,1150,23,0
4.2,1160,23,1
4.12,1160,23,1
4.05,1160,23,0
4.04,1160,23,0
3.95,1160,23,1
3.89,1160,23,0
3.84,1160,23,0
3.57,1160,23,0
3.54,1160,23,0
3.05,1160,23,0
4.36,1170,24,0
4.32,1170,24,1
4.19,1170,24,0
4.09,1170,24,0
4.03,1170,24,1
4,1170,24,0
3.93,1170,24,0
3.88,1170,24,1
3.42,1170,24,0
3.37,1170,24,0
2.92,1170,24,0
4.39,1180,24,1
4.16,1180,24,0
4.11,1180,24,1
3.91,1180,24,0
3.88,1180,24,0
3.78,1180,24,0
3.75,1180,24,0
3.67,1180,24,0
3.64,1180,24,0
3.6,1180,24,0
3.58,1180,24,0
3.56,1180,24,0
3.48,1180,24,1
